1 (4488)
100 (3056)
104 (3968)
11 (3268)
114 (2424)
12 (2684)
120 (4064)
122 (2404)
128 (3160)
13 (2320)
2 (3928)
23 (3376)
24 (5040)
29 (2160)
31 (3808)
36 (8200)
38 (6824)
41 (5880)
42 (2536)
5 (3796)
55 (3552)
56 (4864)
57 (3800)
6 (3292)
63 (2480)
66 (2384)
67 (5316)
70 (2304)
71 (5076)
79 (4744)
88 (4640)
9 (2460)
90 (8416)
94 (8216)
97 (7768)
104 23 36 41 (2824)
104 23 36 56 (2112)
104 23 36 57 (2224)
104 23 36 67 (3040)
104 23 36 71 (2848)
104 23 36 90 (3184)
104 23 36 94 (3184)
104 23 36 97 (3080)
104 23 38 41 (2824)
104 23 38 57 (2120)
104 23 38 67 (2936)
104 23 38 71 (2744)
104 23 38 90 (3080)
104 23 38 94 (3080)
104 23 38 97 (2976)
104 23 41 57 (2120)
104 23 41 67 (2680)
104 23 41 71 (2488)
104 23 41 90 (2824)
104 23 41 94 (2824)
104 23 41 97 (2720)
104 23 56 57 (2112)
104 23 56 90 (2112)
104 23 56 94 (2112)
104 23 56 97 (2112)
104 23 57 90 (2224)
104 23 57 94 (2224)
104 23 57 97 (2120)
104 23 67 71 (2776)
104 23 67 90 (3040)
104 23 67 94 (3040)
104 23 67 97 (2936)
104 23 71 90 (2848)
104 23 71 94 (2848)
104 23 71 97 (2744)
104 23 90 94 (3184)
104 23 90 97 (3080)
104 23 94 97 (3080)
104 31 36 41 (2136)
104 31 36 90 (2240)
104 31 36 94 (2240)
104 31 38 67 (2120)
104 31 38 71 (2120)
104 31 38 90 (2136)
104 31 41 67 (2168)
104 31 41 71 (2168)
104 31 41 90 (2328)
104 31 41 94 (2136)
104 31 67 71 (2200)
104 31 67 90 (2272)
104 31 71 90 (2272)
104 31 90 94 (2240)
104 36 38 41 (2840)
104 36 38 57 (2232)
104 36 38 67 (3128)
104 36 38 71 (2936)
104 36 38 79 (2120)
104 36 38 88 (2120)
104 36 38 90 (3288)
104 36 38 94 (3288)
104 36 38 97 (3168)
104 36 41 57 (2136)
104 36 41 67 (2824)
104 36 41 71 (2632)
104 36 41 90 (3128)
104 36 41 94 (3128)
104 36 41 97 (2720)
104 36 56 57 (2112)
104 36 56 90 (2112)
104 36 56 94 (2112)
104 36 56 97 (2112)
104 36 57 67 (2272)
104 36 57 71 (2272)
104 36 57 90 (2432)
104 36 57 94 (2432)
104 36 57 97 (2312)
104 36 67 71 (3136)
104 36 67 79 (2320)
104 36 67 88 (2320)
104 36 67 90 (3472)
104 36 67 94 (3472)
104 36 67 97 (3224)
104 36 71 79 (2128)
104 36 71 88 (2128)
104 36 71 90 (3280)
104 36 71 94 (3280)
104 36 71 97 (3032)
104 36 79 88 (2224)
104 36 79 90 (2608)
104 36 79 94 (2608)
104 36 79 97 (2216)
104 36 88 90 (2608)
104 36 88 94 (2608)
104 36 88 97 (2216)
104 36 90 94 (3776)
104 36 90 97 (3368)
104 36 94 97 (3368)
104 38 41 57 (2136)
104 38 41 67 (2872)
104 38 41 71 (2680)
104 38 41 90 (3032)
104 38 41 94 (2840)
104 38 41 97 (2912)
104 38 57 90 (2232)
104 38 57 94 (2232)
104 38 57 97 (2112)
104 38 67 71 (3056)
104 38 67 90 (3320)
104 38 67 94 (3128)
104 38 67 97 (3216)
104 38 71 90 (3128)
104 38 71 94 (2936)
104 38 71 97 (3024)
104 38 79 90 (2120)
104 38 79 94 (2120)
104 38 88 90 (2120)
104 38 88 94 (2120)
104 38 90 94 (3288)
104 38 90 97 (3360)
104 38 94 97 (3168)
104 41 57 90 (2136)
104 41 57 94 (2136)
104 41 67 71 (2680)
104 41 67 90 (3016)
104 41 67 94 (2824)
104 41 67 97 (2768)
104 41 71 90 (2824)
104 41 71 94 (2632)
104 41 71 97 (2576)
104 41 90 94 (3128)
104 41 90 97 (2912)
104 41 94 97 (2720)
104 56 57 90 (2112)
104 56 57 94 (2112)
104 56 57 97 (2112)
104 56 90 94 (2112)
104 56 90 97 (2112)
104 56 94 97 (2112)
104 57 67 71 (2200)
104 57 67 90 (2272)
104 57 67 94 (2272)
104 57 67 97 (2168)
104 57 71 90 (2272)
104 57 71 94 (2272)
104 57 71 97 (2168)
104 57 90 94 (2432)
104 57 90 97 (2312)
104 57 94 97 (2312)
104 67 71 90 (3328)
104 67 71 94 (3136)
104 67 71 97 (3152)
104 67 79 90 (2320)
104 67 79 94 (2320)
104 67 88 90 (2320)
104 67 88 94 (2320)
104 67 90 94 (3472)
104 67 90 97 (3416)
104 67 94 97 (3224)
104 71 79 90 (2128)
104 71 79 94 (2128)
104 71 88 90 (2128)
104 71 88 94 (2128)
104 71 90 94 (3280)
104 71 90 97 (3224)
104 71 94 97 (3032)
104 79 88 90 (2224)
104 79 88 94 (2224)
104 79 90 94 (2608)
104 79 90 97 (2216)
104 79 94 97 (2216)
104 88 90 94 (2608)
104 88 90 97 (2216)
104 88 94 97 (2216)
104 90 94 97 (3368)
11 36 38 41 (2140)
11 36 38 90 (3196)
11 36 38 94 (3196)
11 36 38 97 (3016)
11 36 41 90 (2140)
11 36 41 94 (2140)
11 36 90 94 (3236)
11 36 90 97 (3064)
11 36 94 97 (3056)
11 38 41 90 (2164)
11 38 41 94 (2164)
11 38 90 94 (3220)
11 38 90 97 (3016)
11 38 94 97 (3016)
11 41 90 94 (2164)
11 90 94 97 (3056)
114 24 36 90 (2168)
114 24 36 94 (2160)
114 24 90 94 (2184)
114 36 63 90 (2240)
114 36 63 94 (2240)
114 36 90 94 (2392)
114 63 90 94 (2240)
12 36 90 94 (2492)
12 36 90 97 (2192)
12 36 94 97 (2192)
12 90 94 97 (2192)
120 2 24 36 (2504)
120 2 24 38 (2456)
120 2 24 90 (2504)
120 2 24 94 (2504)
120 2 24 97 (2504)
120 2 36 38 (2800)
120 2 36 90 (2848)
120 2 36 94 (2848)
120 2 36 97 (2776)
120 2 38 90 (2800)
120 2 38 94 (2800)
120 2 38 97 (2728)
120 2 90 94 (2848)
120 2 90 97 (2776)
120 2 94 97 (2776)
120 24 36 38 (2528)
120 24 36 90 (2648)
120 24 36 94 (2648)
120 24 36 97 (2648)
120 24 38 90 (2624)
120 24 38 94 (2528)
120 24 38 97 (2624)
120 24 90 94 (2648)
120 24 90 97 (2744)
120 24 94 97 (2648)
120 36 38 56 (2736)
120 36 38 67 (2136)
120 36 38 71 (2112)
120 36 38 90 (3752)
120 36 38 94 (3752)
120 36 38 97 (3664)
120 36 42 90 (2224)
120 36 42 94 (2224)
120 36 42 97 (2224)
120 36 56 90 (2832)
120 36 56 94 (2832)
120 36 56 97 (2832)
120 36 67 90 (2316)
120 36 67 94 (2316)
120 36 67 97 (2228)
120 36 71 90 (2292)
120 36 71 94 (2292)
120 36 71 97 (2204)
120 36 90 94 (3968)
120 36 90 97 (3880)
120 36 94 97 (3880)
120 38 56 90 (2736)
120 38 56 94 (2736)
120 38 56 97 (2736)
120 38 67 90 (2232)
120 38 67 94 (2136)
120 38 67 97 (2144)
120 38 71 90 (2208)
120 38 71 94 (2112)
120 38 71 97 (2120)
120 38 90 94 (3752)
120 38 90 97 (3760)
120 38 94 97 (3664)
120 42 90 94 (2224)
120 42 90 97 (2224)
120 42 94 97 (2224)
120 56 90 94 (2832)
120 56 90 97 (2832)
120 56 94 97 (2832)
120 67 90 94 (2316)
120 67 90 97 (2324)
120 67 94 97 (2228)
120 71 90 94 (2292)
120 71 90 97 (2300)
120 71 94 97 (2204)
120 90 94 97 (3880)
122 36 41 90 (2276)
122 36 41 94 (2276)
122 36 90 94 (2404)
122 41 90 94 (2276)
128 36 38 41 (2192)
128 36 38 56 (2304)
128 36 38 57 (2264)
128 36 38 67 (2160)
128 36 38 71 (2112)
128 36 38 90 (2944)
128 36 38 94 (2944)
128 36 38 97 (2912)
128 36 41 57 (2168)
128 36 41 90 (2192)
128 36 41 94 (2192)
128 36 41 97 (2160)
128 36 56 67 (2112)
128 36 56 71 (2112)
128 36 56 90 (2400)
128 36 56 94 (2400)
128 36 56 97 (2400)
128 36 57 90 (2456)
128 36 57 94 (2456)
128 36 57 97 (2448)
128 36 67 71 (2160)
128 36 67 90 (2352)
128 36 67 94 (2352)
128 36 67 97 (2352)
128 36 71 90 (2304)
128 36 71 94 (2304)
128 36 71 97 (2304)
128 36 90 94 (3136)
128 36 90 97 (3104)
128 36 94 97 (3104)
128 38 41 57 (2168)
128 38 41 90 (2216)
128 38 41 94 (2216)
128 38 41 97 (2160)
128 38 56 90 (2304)
128 38 56 94 (2304)
128 38 56 97 (2304)
128 38 57 90 (2264)
128 38 57 94 (2264)
128 38 57 97 (2256)
128 38 67 90 (2160)
128 38 67 94 (2160)
128 38 67 97 (2160)
128 38 71 90 (2112)
128 38 71 94 (2112)
128 38 71 97 (2112)
128 38 90 94 (2968)
128 38 90 97 (2912)
128 38 94 97 (2912)
128 41 57 90 (2168)
128 41 57 94 (2168)
128 41 57 97 (2160)
128 41 90 94 (2216)
128 41 90 97 (2160)
128 41 94 97 (2160)
128 56 67 90 (2112)
128 56 67 94 (2112)
128 56 67 97 (2112)
128 56 71 90 (2112)
128 56 71 94 (2112)
128 56 71 97 (2112)
128 56 90 94 (2400)
128 56 90 97 (2400)
128 56 94 97 (2400)
128 57 90 94 (2456)
128 57 90 97 (2448)
128 57 94 97 (2448)
128 67 71 90 (2160)
128 67 71 94 (2160)
128 67 71 97 (2160)
128 67 90 94 (2352)
128 67 90 97 (2352)
128 67 94 97 (2352)
128 71 90 94 (2304)
128 71 90 97 (2304)
128 71 94 97 (2304)
128 90 94 97 (3104)
13 36 90 94 (2116)
2 24 36 38 (3176)
2 24 36 66 (2216)
2 24 36 70 (2160)
2 24 36 90 (3280)
2 24 36 94 (3272)
2 24 36 97 (3256)
2 24 38 66 (2240)
2 24 38 70 (2160)
2 24 38 90 (3200)
2 24 38 94 (3200)
2 24 38 97 (3152)
2 24 66 90 (2240)
2 24 66 94 (2240)
2 24 66 97 (2192)
2 24 70 90 (2160)
2 24 70 94 (2160)
2 24 70 97 (2160)
2 24 90 94 (3296)
2 24 90 97 (3256)
2 24 94 97 (3248)
2 29 36 38 (2160)
2 29 36 90 (2160)
2 29 36 94 (2160)
2 29 36 97 (2160)
2 29 38 90 (2160)
2 29 38 94 (2160)
2 29 38 97 (2160)
2 29 90 94 (2160)
2 29 90 97 (2160)
2 29 94 97 (2160)
2 36 38 42 (2112)
2 36 38 66 (2216)
2 36 38 70 (2160)
2 36 38 90 (3792)
2 36 38 94 (3792)
2 36 38 97 (3696)
2 36 42 90 (2224)
2 36 42 94 (2216)
2 36 42 97 (2224)
2 36 66 90 (2216)
2 36 66 94 (2216)
2 36 66 97 (2192)
2 36 70 90 (2160)
2 36 70 94 (2160)
2 36 70 97 (2160)
2 36 90 94 (3896)
2 36 90 97 (3808)
2 36 94 97 (3800)
2 38 42 90 (2112)
2 38 42 94 (2112)
2 38 42 97 (2112)
2 38 66 90 (2240)
2 38 66 94 (2240)
2 38 66 97 (2192)
2 38 70 90 (2160)
2 38 70 94 (2160)
2 38 70 97 (2160)
2 38 90 94 (3816)
2 38 90 97 (3696)
2 38 94 97 (3696)
2 42 90 94 (2216)
2 42 90 97 (2224)
2 42 94 97 (2216)
2 66 90 94 (2240)
2 66 90 97 (2192)
2 66 94 97 (2192)
2 70 90 94 (2160)
2 70 90 97 (2160)
2 70 94 97 (2160)
2 90 94 97 (3800)
23 36 38 41 (3016)
23 36 38 57 (2120)
23 36 38 67 (3128)
23 36 38 71 (2936)
23 36 38 90 (3272)
23 36 38 94 (3272)
23 36 38 97 (2976)
23 36 41 57 (2120)
23 36 41 67 (2872)
23 36 41 71 (2680)
23 36 41 90 (3016)
23 36 41 94 (3016)
23 36 41 97 (2720)
23 36 56 57 (2112)
23 36 56 90 (2112)
23 36 56 94 (2112)
23 36 56 97 (2112)
23 36 57 90 (2224)
23 36 57 94 (2224)
23 36 57 97 (2120)
23 36 67 71 (2968)
23 36 67 90 (3232)
23 36 67 94 (3232)
23 36 67 97 (2936)
23 36 71 90 (3040)
23 36 71 94 (3040)
23 36 71 97 (2744)
23 36 79 90 (2128)
23 36 79 94 (2128)
23 36 88 90 (2128)
23 36 88 94 (2128)
23 36 90 94 (3376)
23 36 90 97 (3080)
23 36 94 97 (3080)
23 38 41 57 (2120)
23 38 41 67 (2872)
23 38 41 71 (2680)
23 38 41 90 (3016)
23 38 41 94 (3016)
23 38 41 97 (2720)
23 38 57 90 (2120)
23 38 57 94 (2120)
23 38 67 71 (2864)
23 38 67 90 (3128)
23 38 67 94 (3128)
23 38 67 97 (2832)
23 38 71 90 (2936)
23 38 71 94 (2936)
23 38 71 97 (2640)
23 38 90 94 (3272)
23 38 90 97 (2976)
23 38 94 97 (2976)
23 41 57 90 (2120)
23 41 57 94 (2120)
23 41 67 71 (2608)
23 41 67 90 (2872)
23 41 67 94 (2872)
23 41 67 97 (2576)
23 41 71 90 (2680)
23 41 71 94 (2680)
23 41 71 97 (2384)
23 41 90 94 (3016)
23 41 90 97 (2720)
23 41 94 97 (2720)
23 56 57 90 (2112)
23 56 57 94 (2112)
23 56 57 97 (2112)
23 56 90 94 (2112)
23 56 90 97 (2112)
23 56 94 97 (2112)
23 57 90 94 (2224)
23 57 90 97 (2120)
23 57 94 97 (2120)
23 67 71 90 (2968)
23 67 71 94 (2968)
23 67 71 97 (2672)
23 67 90 94 (3232)
23 67 90 97 (2936)
23 67 94 97 (2936)
23 71 90 94 (3040)
23 71 90 97 (2744)
23 71 94 97 (2744)
23 79 90 94 (2128)
23 88 90 94 (2128)
23 90 94 97 (3080)
24 36 38 66 (2216)
24 36 38 70 (2160)
24 36 38 90 (3336)
24 36 38 94 (3336)
24 36 38 97 (3296)
24 36 41 90 (2648)
24 36 41 94 (2648)
24 36 41 97 (2320)
24 36 42 90 (2176)
24 36 42 94 (2168)
24 36 42 97 (2176)
24 36 5 90 (2124)
24 36 5 94 (2124)
24 36 56 90 (2752)
24 36 56 94 (2752)
24 36 56 97 (2752)
24 36 66 90 (2360)
24 36 66 94 (2360)
24 36 66 97 (2192)
24 36 70 90 (2304)
24 36 70 94 (2304)
24 36 70 97 (2160)
24 36 79 90 (2616)
24 36 79 94 (2616)
24 36 79 97 (2328)
24 36 88 90 (2512)
24 36 88 94 (2512)
24 36 88 97 (2224)
24 36 90 94 (4816)
24 36 90 97 (4496)
24 36 94 97 (4488)
24 38 66 90 (2240)
24 38 66 94 (2240)
24 38 66 97 (2192)
24 38 70 90 (2160)
24 38 70 94 (2160)
24 38 70 97 (2160)
24 38 90 94 (3360)
24 38 90 97 (3488)
24 38 94 97 (3296)
24 41 90 94 (2672)
24 41 90 97 (2512)
24 41 94 97 (2320)
24 42 90 94 (2168)
24 42 90 97 (2176)
24 42 94 97 (2168)
24 5 90 94 (2132)
24 56 90 94 (2752)
24 56 90 97 (2752)
24 56 94 97 (2752)
24 66 90 94 (2384)
24 66 90 97 (2192)
24 66 94 97 (2192)
24 70 90 94 (2304)
24 70 90 97 (2160)
24 70 94 97 (2160)
24 79 90 94 (2616)
24 79 90 97 (2328)
24 79 94 97 (2328)
24 88 90 94 (2512)
24 88 90 97 (2224)
24 88 94 97 (2224)
24 90 94 97 (4488)
29 36 38 90 (2160)
29 36 38 94 (2160)
29 36 38 97 (2160)
29 36 90 94 (2160)
29 36 90 97 (2160)
29 36 94 97 (2160)
29 38 90 94 (2160)
29 38 90 97 (2160)
29 38 94 97 (2160)
29 90 94 97 (2160)
31 36 38 67 (2168)
31 36 38 71 (2120)
31 36 38 90 (2216)
31 36 38 94 (2216)
31 36 41 56 (2752)
31 36 41 67 (2680)
31 36 41 71 (2680)
31 36 41 90 (3352)
31 36 41 94 (3352)
31 36 41 97 (2752)
31 36 56 67 (2240)
31 36 56 71 (2240)
31 36 56 90 (2752)
31 36 56 94 (2752)
31 36 56 97 (2752)
31 36 67 71 (2474)
31 36 67 90 (2868)
31 36 67 94 (2868)
31 36 67 97 (2428)
31 36 71 90 (2820)
31 36 71 94 (2820)
31 36 71 97 (2380)
31 36 79 90 (2344)
31 36 79 94 (2344)
31 36 88 90 (2240)
31 36 88 94 (2240)
31 36 90 94 (3608)
31 36 90 97 (3016)
31 36 94 97 (3008)
31 38 41 67 (2216)
31 38 41 71 (2216)
31 38 41 90 (2232)
31 38 67 71 (2312)
31 38 67 90 (2360)
31 38 67 94 (2168)
31 38 71 90 (2312)
31 38 71 94 (2120)
31 38 90 94 (2216)
31 41 56 67 (2240)
31 41 56 71 (2240)
31 41 56 90 (2752)
31 41 56 94 (2752)
31 41 56 97 (2752)
31 41 67 71 (2544)
31 41 67 90 (2872)
31 41 67 94 (2680)
31 41 67 97 (2432)
31 41 71 90 (2872)
31 41 71 94 (2680)
31 41 71 97 (2432)
31 41 90 94 (3352)
31 41 90 97 (2944)
31 41 94 97 (2752)
31 56 67 90 (2240)
31 56 67 94 (2240)
31 56 67 97 (2240)
31 56 71 90 (2240)
31 56 71 94 (2240)
31 56 71 97 (2240)
31 56 90 94 (2752)
31 56 90 97 (2752)
31 56 94 97 (2752)
31 67 71 90 (2666)
31 67 71 94 (2474)
31 67 71 97 (2298)
31 67 90 94 (2868)
31 67 90 97 (2620)
31 67 94 97 (2428)
31 71 90 94 (2820)
31 71 90 97 (2572)
31 71 94 97 (2380)
31 79 90 94 (2344)
31 88 90 94 (2240)
31 90 94 97 (3008)
36 38 41 55 (2336)
36 38 41 57 (3432)
36 38 41 67 (2872)
36 38 41 71 (2680)
36 38 41 90 (4352)
36 38 41 94 (4352)
36 38 41 97 (4016)
36 38 42 90 (2256)
36 38 42 94 (2256)
36 38 42 97 (2256)
36 38 5 90 (2964)
36 38 5 94 (2964)
36 38 5 97 (2872)
36 38 55 90 (2864)
36 38 55 94 (2864)
36 38 55 97 (2528)
36 38 56 67 (2736)
36 38 56 71 (2736)
36 38 56 90 (3744)
36 38 56 94 (3744)
36 38 56 97 (3744)
36 38 57 90 (3528)
36 38 57 94 (3528)
36 38 57 97 (3408)
36 38 6 90 (2648)
36 38 6 94 (2648)
36 38 6 97 (2520)
36 38 66 90 (2216)
36 38 66 94 (2216)
36 38 66 97 (2192)
36 38 67 71 (3488)
36 38 67 79 (2552)
36 38 67 88 (2552)
36 38 67 90 (4232)
36 38 67 94 (4232)
36 38 67 97 (3936)
36 38 70 90 (2160)
36 38 70 94 (2160)
36 38 70 97 (2160)
36 38 71 79 (2312)
36 38 71 88 (2312)
36 38 71 90 (3992)
36 38 71 94 (3992)
36 38 71 97 (3696)
36 38 79 88 (2264)
36 38 79 90 (3160)
36 38 79 94 (3160)
36 38 79 97 (2960)
36 38 88 90 (3128)
36 38 88 94 (3128)
36 38 88 97 (2928)
36 38 90 94 (6608)
36 38 90 97 (6272)
36 38 94 97 (6272)
36 41 5 90 (2708)
36 41 5 94 (2708)
36 41 5 97 (2520)
36 41 55 90 (2624)
36 41 55 94 (2624)
36 41 56 67 (2384)
36 41 56 71 (2384)
36 41 56 90 (3040)
36 41 56 94 (3040)
36 41 56 97 (3040)
36 41 57 90 (3432)
36 41 57 94 (3432)
36 41 57 97 (3312)
36 41 6 90 (2392)
36 41 6 94 (2392)
36 41 6 97 (2264)
36 41 67 71 (2936)
36 41 67 79 (2280)
36 41 67 88 (2280)
36 41 67 90 (3528)
36 41 67 94 (3528)
36 41 67 97 (3088)
36 41 71 90 (3336)
36 41 71 94 (3336)
36 41 71 97 (2896)
36 41 79 88 (2648)
36 41 79 90 (3080)
36 41 79 94 (3080)
36 41 79 97 (2592)
36 41 88 90 (3080)
36 41 88 94 (3080)
36 41 88 97 (2592)
36 41 9 90 (2168)
36 41 9 94 (2168)
36 41 90 94 (5664)
36 41 90 97 (5040)
36 41 94 97 (5040)
36 42 90 94 (2528)
36 42 90 97 (2536)
36 42 94 97 (2528)
36 5 56 90 (2144)
36 5 56 94 (2144)
36 5 56 97 (2144)
36 5 67 90 (2396)
36 5 67 94 (2396)
36 5 67 97 (2268)
36 5 71 90 (2276)
36 5 71 94 (2276)
36 5 71 97 (2148)
36 5 79 90 (2184)
36 5 79 94 (2184)
36 5 88 90 (2152)
36 5 88 94 (2152)
36 5 90 94 (3740)
36 5 90 97 (3552)
36 5 94 97 (3552)
36 55 90 94 (3328)
36 55 90 97 (2712)
36 55 94 97 (2704)
36 56 57 90 (2112)
36 56 57 94 (2112)
36 56 57 97 (2112)
36 56 6 90 (2144)
36 56 6 94 (2144)
36 56 6 97 (2144)
36 56 67 71 (2584)
36 56 67 90 (3344)
36 56 67 94 (3344)
36 56 67 97 (3344)
36 56 71 90 (3344)
36 56 71 94 (3344)
36 56 71 97 (3344)
36 56 79 90 (2848)
36 56 79 94 (2848)
36 56 79 97 (2848)
36 56 88 90 (2848)
36 56 88 94 (2848)
36 56 88 97 (2848)
36 56 90 94 (4864)
36 56 90 97 (4864)
36 56 94 97 (4864)
36 57 67 71 (2218)
36 57 67 90 (2308)
36 57 67 94 (2308)
36 57 67 97 (2204)
36 57 71 90 (2308)
36 57 71 94 (2308)
36 57 71 97 (2204)
36 57 90 94 (3800)
36 57 90 97 (3680)
36 57 94 97 (3680)
36 6 90 94 (3234)
36 6 90 97 (3108)
36 6 94 97 (3106)
36 63 90 94 (2288)
36 66 90 94 (2360)
36 66 90 97 (2192)
36 66 94 97 (2192)
36 67 71 79 (2570)
36 67 71 88 (2552)
36 67 71 90 (4034)
36 67 71 94 (4034)
36 67 71 97 (3666)
36 67 79 88 (2760)
36 67 79 90 (3444)
36 67 79 94 (3444)
36 67 79 97 (3100)
36 67 88 90 (3408)
36 67 88 94 (3408)
36 67 88 97 (3064)
36 67 90 94 (5124)
36 67 90 97 (4684)
36 67 94 97 (4684)
36 70 90 94 (2304)
36 70 90 97 (2160)
36 70 94 97 (2160)
36 71 79 88 (2520)
36 71 79 90 (3204)
36 71 79 94 (3204)
36 71 79 97 (2860)
36 71 88 90 (3168)
36 71 88 94 (3168)
36 71 88 97 (2824)
36 71 90 94 (4884)
36 71 90 97 (4444)
36 71 94 97 (4444)
36 79 88 90 (3776)
36 79 88 94 (3776)
36 79 88 97 (3336)
36 79 90 94 (4744)
36 79 90 97 (4256)
36 79 94 97 (4256)
36 88 90 94 (4640)
36 88 90 97 (4152)
36 88 94 97 (4152)
36 9 90 94 (2460)
36 9 90 97 (2316)
36 9 94 97 (2316)
36 90 94 97 (7568)
38 41 5 90 (2156)
38 41 5 94 (2108)
38 41 55 90 (2552)
38 41 55 94 (2360)
38 41 55 97 (2192)
38 41 57 90 (3432)
38 41 57 94 (3432)
38 41 57 97 (3312)
38 41 67 71 (2800)
38 41 67 90 (3064)
38 41 67 94 (2872)
38 41 67 97 (2768)
38 41 71 90 (2872)
38 41 71 94 (2680)
38 41 71 97 (2576)
38 41 90 94 (4376)
38 41 90 97 (4208)
38 41 94 97 (4016)
38 42 90 94 (2256)
38 42 90 97 (2256)
38 42 94 97 (2256)
38 5 90 94 (2972)
38 5 90 97 (2920)
38 5 94 97 (2872)
38 55 90 94 (2888)
38 55 90 97 (2720)
38 55 94 97 (2528)
38 56 67 71 (2232)
38 56 67 90 (2736)
38 56 67 94 (2736)
38 56 67 97 (2736)
38 56 71 90 (2736)
38 56 71 94 (2736)
38 56 71 97 (2736)
38 56 90 94 (3744)
38 56 90 97 (3744)
38 56 94 97 (3744)
38 57 90 94 (3528)
38 57 90 97 (3408)
38 57 94 97 (3408)
38 6 90 94 (2656)
38 6 90 97 (2568)
38 6 94 97 (2520)
38 66 90 94 (2240)
38 66 90 97 (2192)
38 66 94 97 (2192)
38 67 71 90 (3680)
38 67 71 94 (3488)
38 67 71 97 (3384)
38 67 79 90 (2552)
38 67 79 94 (2552)
38 67 79 97 (2352)
38 67 88 90 (2552)
38 67 88 94 (2552)
38 67 88 97 (2352)
38 67 90 94 (4232)
38 67 90 97 (4128)
38 67 94 97 (3936)
38 70 90 94 (2160)
38 70 90 97 (2160)
38 70 94 97 (2160)
38 71 79 90 (2312)
38 71 79 94 (2312)
38 71 79 97 (2112)
38 71 88 90 (2312)
38 71 88 94 (2312)
38 71 88 97 (2112)
38 71 90 94 (3992)
38 71 90 97 (3888)
38 71 94 97 (3696)
38 79 88 90 (2264)
38 79 88 94 (2264)
38 79 88 97 (2112)
38 79 90 94 (3160)
38 79 90 97 (2960)
38 79 94 97 (2960)
38 88 90 94 (3128)
38 88 90 97 (2928)
38 88 94 97 (2928)
38 90 94 97 (6272)
41 5 90 94 (2716)
41 5 90 97 (2568)
41 5 94 97 (2520)
41 55 90 94 (2648)
41 55 90 97 (2192)
41 56 67 90 (2384)
41 56 67 94 (2384)
41 56 67 97 (2384)
41 56 71 90 (2384)
41 56 71 94 (2384)
41 56 71 97 (2384)
41 56 90 94 (3040)
41 56 90 97 (3040)
41 56 94 97 (3040)
41 57 90 94 (3432)
41 57 90 97 (3312)
41 57 94 97 (3312)
41 6 90 94 (2400)
41 6 90 97 (2312)
41 6 94 97 (2264)
41 67 71 90 (3128)
41 67 71 94 (2936)
41 67 71 97 (2760)
41 67 79 90 (2280)
41 67 79 94 (2280)
41 67 88 90 (2280)
41 67 88 94 (2280)
41 67 90 94 (3528)
41 67 90 97 (3280)
41 67 94 97 (3088)
41 71 90 94 (3336)
41 71 90 97 (3088)
41 71 94 97 (2896)
41 79 88 90 (2648)
41 79 88 94 (2648)
41 79 88 97 (2208)
41 79 90 94 (3080)
41 79 90 97 (2592)
41 79 94 97 (2592)
41 88 90 94 (3080)
41 88 90 97 (2592)
41 88 94 97 (2592)
41 9 90 94 (2168)
41 90 94 97 (5040)
42 90 94 97 (2528)
5 56 90 94 (2144)
5 56 90 97 (2144)
5 56 94 97 (2144)
5 67 90 94 (2396)
5 67 90 97 (2316)
5 67 94 97 (2268)
5 71 90 94 (2276)
5 71 90 97 (2196)
5 71 94 97 (2148)
5 79 90 94 (2184)
5 88 90 94 (2152)
5 90 94 97 (3552)
55 90 94 97 (2704)
56 57 90 94 (2112)
56 57 90 97 (2112)
56 57 94 97 (2112)
56 6 90 94 (2144)
56 6 90 97 (2144)
56 6 94 97 (2144)
56 67 71 90 (2584)
56 67 71 94 (2584)
56 67 71 97 (2584)
56 67 90 94 (3344)
56 67 90 97 (3344)
56 67 94 97 (3344)
56 71 90 94 (3344)
56 71 90 97 (3344)
56 71 94 97 (3344)
56 79 90 94 (2848)
56 79 90 97 (2848)
56 79 94 97 (2848)
56 88 90 94 (2848)
56 88 90 97 (2848)
56 88 94 97 (2848)
56 90 94 97 (4864)
57 67 71 90 (2218)
57 67 71 94 (2218)
57 67 71 97 (2114)
57 67 90 94 (2308)
57 67 90 97 (2204)
57 67 94 97 (2204)
57 71 90 94 (2308)
57 71 90 97 (2204)
57 71 94 97 (2204)
57 90 94 97 (3680)
6 90 94 97 (3106)
66 90 94 97 (2192)
67 71 79 90 (2570)
67 71 79 94 (2570)
67 71 79 97 (2298)
67 71 88 90 (2552)
67 71 88 94 (2552)
67 71 88 97 (2280)
67 71 90 94 (4034)
67 71 90 97 (3858)
67 71 94 97 (3666)
67 79 88 90 (2760)
67 79 88 94 (2760)
67 79 88 97 (2464)
67 79 90 94 (3444)
67 79 90 97 (3100)
67 79 94 97 (3100)
67 88 90 94 (3408)
67 88 90 97 (3064)
67 88 94 97 (3064)
67 90 94 97 (4684)
70 90 94 97 (2160)
71 79 88 90 (2520)
71 79 88 94 (2520)
71 79 88 97 (2224)
71 79 90 94 (3204)
71 79 90 97 (2860)
71 79 94 97 (2860)
71 88 90 94 (3168)
71 88 90 97 (2824)
71 88 94 97 (2824)
71 90 94 97 (4444)
79 88 90 94 (3776)
79 88 90 97 (3336)
79 88 94 97 (3336)
79 90 94 97 (4256)
88 90 94 97 (4152)
9 90 94 97 (2316)
